,field,key,dateExport,historyId,dateCreated,page,fieldtype,fieldId,from,fromString,to,toString,tmpFromAccountId,tmpToAccountId
0,IssueParentAssociation,ECOM-5334,2023-12-27,1209605,2023-12-27T03:48:10.615+0200,0,jira,,,,98151,ECOM-5203,,
0,Parent,ECOM-5334,2023-12-27,1209606,2023-12-27T03:48:10.680+0200,0,jira,,,,98151,ECOM-5203,,
0,priority,ECOM-5334,2023-12-27,1209607,2023-12-27T03:48:27.196+0200,0,jira,priority,3,Medium,1,Higher,,
0,status,ECOM-5334,2023-12-27,1209609,2023-12-27T03:52:58.050+0200,0,jira,status,10000,To Do,10047,QA IN PROGRESS,,
0,IssueParentAssociation,ECOM-5319,2023-12-27,1208390,2023-12-26T06:47:16.581+0200,0,jira,,,,95615,ECOM-4600,,
0,Parent,ECOM-5319,2023-12-27,1208391,2023-12-26T06:47:16.646+0200,0,jira,,,,95615,ECOM-4600,,
0,description,ECOM-5319,2023-12-27,1208672,2023-12-26T09:13:08.926+0200,0,jira,description,,,,[https://storai.atlassian.net/browse/PD-493|https://storai.atlassian.net/browse/PD-493|smart-link] ,,
0,description,ECOM-5319,2023-12-27,1208678,2023-12-26T09:16:18.100+0200,0,jira,description,,[https://storai.atlassian.net/browse/PD-493|https://storai.atlassian.net/browse/PD-493|smart-link] ,,"[https://storai.atlassian.net/browse/PD-493|https://storai.atlassian.net/browse/PD-493|smart-link] 

[https://storai.atlassian.net/browse/ECOM-5096|https://storai.atlassian.net/browse/ECOM-5096|smart-link] ",,
0,timeestimate,ECOM-5319,2023-12-27,1208756,2023-12-26T09:45:17.185+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5319,2023-12-27,1208756,2023-12-26T09:45:17.185+0200,0,jira,timespent,,,7200,7200,,
2,WorklogId,ECOM-5319,2023-12-27,1208756,2023-12-26T09:45:17.185+0200,0,jira,,,,113732,113732,,
0,resolution,ECOM-5319,2023-12-27,1208757,2023-12-26T09:45:22.610+0200,0,jira,resolution,,,10000,Done,,
1,status,ECOM-5319,2023-12-27,1208757,2023-12-26T09:45:22.610+0200,0,jira,status,10000,To Do,10001,Done,,
0,IssueParentAssociation,ECOM-5314,2023-12-27,1208096,2023-12-26T04:17:15.263+0200,0,jira,,,,96764,ECOM-4910,,
0,Parent,ECOM-5314,2023-12-27,1208097,2023-12-26T04:17:15.327+0200,0,jira,,,,96764,ECOM-4910,,
0,assignee,ECOM-5314,2023-12-27,1208101,2023-12-26T04:18:11.105+0200,0,jira,assignee,,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5313,2023-12-27,1208092,2023-12-26T04:16:29.163+0200,0,jira,,,,96764,ECOM-4910,,
0,Parent,ECOM-5313,2023-12-27,1208093,2023-12-26T04:16:29.224+0200,0,jira,,,,96764,ECOM-4910,,
0,assignee,ECOM-5313,2023-12-27,1208100,2023-12-26T04:18:05.102+0200,0,jira,assignee,,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5312,2023-12-27,1208085,2023-12-26T04:15:52.098+0200,0,jira,,,,96764,ECOM-4910,,
0,Parent,ECOM-5312,2023-12-27,1208086,2023-12-26T04:15:52.159+0200,0,jira,,,,96764,ECOM-4910,,
0,assignee,ECOM-5312,2023-12-27,1208098,2023-12-26T04:18:03.007+0200,0,jira,assignee,,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,status,ECOM-5312,2023-12-27,1209079,2023-12-26T11:18:45.983+0200,0,jira,status,10000,To Do,3,In Progress,,
0,IssueParentAssociation,ECOM-5311,2023-12-27,1208074,2023-12-26T04:09:20.466+0200,0,jira,,,,96764,ECOM-4910,,
0,Parent,ECOM-5311,2023-12-27,1208075,2023-12-26T04:09:20.519+0200,0,jira,,,,96764,ECOM-4910,,
0,summary,ECOM-5311,2023-12-27,1208087,2023-12-26T04:16:00.345+0200,0,jira,summary,,[Selfpoint] [Cart] API for get Cart,,[Selfpoint] [Cart] API for get cart,,
0,status,ECOM-5311,2023-12-27,1209078,2023-12-26T11:18:44.129+0200,0,jira,status,10000,To Do,3,In Progress,,
0,timeestimate,ECOM-5311,2023-12-27,1209216,2023-12-26T12:58:04.313+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5311,2023-12-27,1209216,2023-12-26T12:58:04.313+0200,0,jira,timespent,,,7200,7200,,
2,WorklogId,ECOM-5311,2023-12-27,1209216,2023-12-26T12:58:04.313+0200,0,jira,,,,113751,113751,,
0,IssueParentAssociation,ECOM-5310,2023-12-27,1208065,2023-12-26T04:06:34.456+0200,0,jira,,,,96764,ECOM-4910,,
0,Parent,ECOM-5310,2023-12-27,1208066,2023-12-26T04:06:34.513+0200,0,jira,,,,96764,ECOM-4910,,
0,status,ECOM-5310,2023-12-27,1208103,2023-12-26T04:18:21.101+0200,0,jira,status,10000,To Do,3,In Progress,,
0,timeestimate,ECOM-5310,2023-12-27,1209214,2023-12-26T12:57:37.134+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5310,2023-12-27,1209214,2023-12-26T12:57:37.134+0200,0,jira,timespent,,,10800,10800,,
2,WorklogId,ECOM-5310,2023-12-27,1209214,2023-12-26T12:57:37.134+0200,0,jira,,,,113750,113750,,
0,IssueParentAssociation,ECOM-5309,2023-12-27,1208062,2023-12-26T04:05:58.651+0200,0,jira,,,,96764,ECOM-4910,,
0,Parent,ECOM-5309,2023-12-27,1208063,2023-12-26T04:05:58.717+0200,0,jira,,,,96764,ECOM-4910,,
0,status,ECOM-5309,2023-12-27,1208102,2023-12-26T04:18:19.194+0200,0,jira,status,10000,To Do,3,In Progress,,
0,IssueParentAssociation,ECOM-5308,2023-12-27,1208057,2023-12-26T04:05:02.299+0200,0,jira,,,,96764,ECOM-4910,,
0,Parent,ECOM-5308,2023-12-27,1208058,2023-12-26T04:05:02.358+0200,0,jira,,,,96764,ECOM-4910,,
0,status,ECOM-5308,2023-12-27,1208059,2023-12-26T04:05:02.419+0200,0,jira,status,10000,To Do,3,In Progress,,
0,timeestimate,ECOM-5308,2023-12-27,1209217,2023-12-26T12:58:41.328+0200,0,jira,timeestimate,,,0,0,,
1,timespent,ECOM-5308,2023-12-27,1209217,2023-12-26T12:58:41.328+0200,0,jira,timespent,,,7200,7200,,
2,WorklogId,ECOM-5308,2023-12-27,1209217,2023-12-26T12:58:41.328+0200,0,jira,,,,113752,113752,,
0,Link,ECOM-5296,2023-12-27,1205038,2023-12-25T12:08:23.084+0200,0,jira,,,,ECOM-3346,This issue blocks ECOM-3346,,
0,IssueParentAssociation,ECOM-5296,2023-12-27,1205041,2023-12-25T12:08:26.242+0200,0,jira,,,,97973,ECOM-5174,,
0,Parent,ECOM-5296,2023-12-27,1205042,2023-12-25T12:08:26.308+0200,0,jira,,,,97973,ECOM-5174,,
0,status,ECOM-5296,2023-12-27,1208029,2023-12-26T03:43:12.425+0200,0,jira,status,10000,To Do,10027,Rejected,,
0,IssueParentAssociation,ECOM-5292,2023-12-27,1204575,2023-12-25T09:25:59.837+0200,0,jira,,,,97973,ECOM-5174,,
0,Parent,ECOM-5292,2023-12-27,1204576,2023-12-25T09:25:59.908+0200,0,jira,,,,97973,ECOM-5174,,
0,description,ECOM-5292,2023-12-27,1204584,2023-12-25T09:28:35.155+0200,0,jira,description,,,,"Dear [~accountid:640f14cd67102fc717becde7] ,Currently, the NIS icon and number are display outside padding of progress bar.  Could you please confirm the design of these below displays are correct or not. If they are the bug, please provide design so dev have to fix it.

!image-20231225-072233.png|width=505,height=714!

!image-20231225-072332.png|width=449,height=715!

Step to reporoduce:

# Go to back office

{noformat}http://localhost:3000/backend/?domain=storewisetest.sites.self-point.com#!/loyaltyClubs/loyaltyDriversConfiguration{noformat}

# Go to Loyalty Clubs → loyalty page design
# Select non-loyalty members
# Enable “Points to cashback calculator”
# Enable Monthly spending -textual desciption
# From web mobile mode, login non-loyaty user

*Actual result:*

On web mobile mode, monthly section, there are some above issues.",,
0,assignee,ECOM-5292,2023-12-27,1204585,2023-12-25T09:28:38.444+0200,0,jira,assignee,,,640f14cd67102fc717becde7,Or Groer,,640f14cd67102fc717becde7
0,description,ECOM-5292,2023-12-27,1204586,2023-12-25T09:29:00.182+0200,0,jira,description,,"Dear [~accountid:640f14cd67102fc717becde7] ,Currently, the NIS icon and number are display outside padding of progress bar.  Could you please confirm the design of these below displays are correct or not. If they are the bug, please provide design so dev have to fix it.

!image-20231225-072233.png|width=505,height=714!

!image-20231225-072332.png|width=449,height=715!

Step to reporoduce:

# Go to back office

{noformat}http://localhost:3000/backend/?domain=storewisetest.sites.self-point.com#!/loyaltyClubs/loyaltyDriversConfiguration{noformat}

# Go to Loyalty Clubs → loyalty page design
# Select non-loyalty members
# Enable “Points to cashback calculator”
# Enable Monthly spending -textual desciption
# From web mobile mode, login non-loyaty user

*Actual result:*

On web mobile mode, monthly section, there are some above issues.",,"Dear [~accountid:640f14cd67102fc717becde7] ,Currently, the NIS icon and number are display outside padding of progress bar.  Could you please confirm the design of these below displays are correct or not. If they are the bug, please provide design so dev have to fix it.

!image-20231225-072233.png|width=505,height=714!

!image-20231225-072332.png|width=449,height=715!

Step to reporoduce:

# Go to back office

{noformat}http://localhost:3000/backend/?domain=storewisetest.sites.self-point.com#!/loyaltyClubs/loyaltyDriversConfiguration{noformat}

# Go to Loyalty Clubs → loyalty page design
# Select non-loyalty members
# Enable “Points to cashback calculator”
# Enable Monthly spending -textual desciption
# From web mobile mode, login non-loyaty user

*Actual result:*

On web mobile mode, monthly section, there are some above issues.



CC: [~accountid:712020:ef61458f-a61f-4447-b461-cb37078f1a38] [~accountid:712020:ac60f76c-33de-4954-aaac-e67fee70cdea] ",,
0,assignee,ECOM-5292,2023-12-27,1205449,2023-12-25T17:55:12.813+0200,0,jira,assignee,640f14cd67102fc717becde7,Or Groer,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,640f14cd67102fc717becde7,712020:e076303b-e72c-415b-a842-48b51f0d58db
0,assignee,ECOM-5292,2023-12-27,1208187,2023-12-26T05:03:50.379+0200,0,jira,assignee,712020:e076303b-e72c-415b-a842-48b51f0d58db,Gam Do,557058:1e72f607-6d91-487f-aa26-1828110a21b1,mushka gorowitz,712020:e076303b-e72c-415b-a842-48b51f0d58db,557058:1e72f607-6d91-487f-aa26-1828110a21b1
0,assignee,ECOM-5292,2023-12-27,1208615,2023-12-26T08:53:39.035+0200,0,jira,assignee,557058:1e72f607-6d91-487f-aa26-1828110a21b1,mushka gorowitz,712020:c71dd805-542c-4942-9d09-905911569b6e,Anh Tran,557058:1e72f607-6d91-487f-aa26-1828110a21b1,712020:c71dd805-542c-4942-9d09-905911569b6e
0,assignee,ECOM-5292,2023-12-27,1208617,2023-12-26T08:53:47.037+0200,0,jira,assignee,712020:c71dd805-542c-4942-9d09-905911569b6e,Anh Tran,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1,An Le,712020:c71dd805-542c-4942-9d09-905911569b6e,712020:0743b6b6-ea26-4081-90fa-6e1956e41bd1
0,IssueParentAssociation,ECOM-5262,2023-12-27,1202037,2023-12-21T14:37:43.647+0200,0,jira,,,,95613,ECOM-4598,,
0,Parent,ECOM-5262,2023-12-27,1202038,2023-12-21T14:37:43.744+0200,0,jira,,,,95613,ECOM-4598,,
0,RemoteIssueLink,ECOM-5262,2023-12-27,1202988,2023-12-22T10:38:07.641+0200,0,jira,,,,18992,"This issue links to ""Page (Confluence)""",,
0,IssueParentAssociation,ECOM-5261,2023-12-27,1202034,2023-12-21T14:37:27.381+0200,0,jira,,,,95613,ECOM-4598,,
0,Parent,ECOM-5261,2023-12-27,1202035,2023-12-21T14:37:27.480+0200,0,jira,,,,95613,ECOM-4598,,
0,assignee,ECOM-5261,2023-12-27,1202962,2023-12-22T10:21:19.453+0200,0,jira,assignee,,,712020:c95a5d7b-d6e3-4c3b-8d66-3b2e1a6be4a7,Ty Nguyen,,712020:c95a5d7b-d6e3-4c3b-8d66-3b2e1a6be4a7
0,timeestimate,ECOM-5261,2023-12-27,1209776,2023-12-27T05:30:45.824+0200,0,jira,timeestimate,,,154800,154800,,
1,timeoriginalestimate,ECOM-5261,2023-12-27,1209776,2023-12-27T05:30:45.824+0200,0,jira,timeoriginalestimate,,,154800,154800,,
0,IssueParentAssociation,ECOM-5260,2023-12-27,1202031,2023-12-21T14:37:12.233+0200,0,jira,,,,95613,ECOM-4598,,
0,Parent,ECOM-5260,2023-12-27,1202032,2023-12-21T14:37:12.304+0200,0,jira,,,,95613,ECOM-4598,,
0,assignee,ECOM-5260,2023-12-27,1202960,2023-12-22T10:20:56.449+0200,0,jira,assignee,,,712020:c95a5d7b-d6e3-4c3b-8d66-3b2e1a6be4a7,Ty Nguyen,,712020:c95a5d7b-d6e3-4c3b-8d66-3b2e1a6be4a7
0,summary,ECOM-5260,2023-12-27,1202961,2023-12-22T10:21:08.753+0200,0,jira,summary,,[QA] SOW_Tiv Taam - Adding Points Accumulation on Previous Orders & Redemption History page - Write Test Cases,,[QA] SOW_Tiv Taam - Adding Points Accumulation on Previous Orders & Redemption History page - Test Scenarios Design,,
0,summary,ECOM-5260,2023-12-27,1209774,2023-12-27T05:28:34.792+0200,0,jira,summary,,[QA] SOW_Tiv Taam - Adding Points Accumulation on Previous Orders & Redemption History page - Test Scenarios Design,,[QA] SOW_Tiv Taam - Adding Points Accumulation on Previous Orders & Redemption History page - Analyze & Test Scenarios Design,,
0,timeestimate,ECOM-5260,2023-12-27,1209775,2023-12-27T05:28:44.193+0200,0,jira,timeestimate,,,28800,28800,,
1,timeoriginalestimate,ECOM-5260,2023-12-27,1209775,2023-12-27T05:28:44.193+0200,0,jira,timeoriginalestimate,,,28800,28800,,
0,IssueParentAssociation,ECOM-5258,2023-12-27,1202017,2023-12-21T14:20:23.164+0200,0,jira,,,,98411,ECOM-5249,,
0,Parent,ECOM-5258,2023-12-27,1202018,2023-12-21T14:20:23.236+0200,0,jira,,,,98411,ECOM-5249,,
0,description,ECOM-5258,2023-12-27,1202070,2023-12-21T15:31:20.186+0200,0,jira,description,,,,I’m not sure it it’s relevant,,
0,description,ECOM-5258,2023-12-27,1202080,2023-12-21T15:44:05.309+0200,0,jira,description,,I’m not sure it it’s relevant,,Not relevant,,
0,status,ECOM-5258,2023-12-27,1202081,2023-12-21T15:44:23.008+0200,0,jira,status,10000,To Do,10109,Not Relevant,,
0,IssueParentAssociation,ECOM-5257,2023-12-27,1202014,2023-12-21T14:20:17.146+0200,0,jira,,,,98411,ECOM-5249,,
0,Parent,ECOM-5257,2023-12-27,1202015,2023-12-21T14:20:17.228+0200,0,jira,,,,98411,ECOM-5249,,
0,description,ECOM-5257,2023-12-27,1202067,2023-12-21T15:10:21.743+0200,0,jira,description,,,,Cerate order when the payment already done. Payment data will be passed in the call.,,
0,timeestimate,ECOM-5257,2023-12-27,1202068,2023-12-21T15:10:29.767+0200,0,jira,timeestimate,,,144000,144000,,
1,timeoriginalestimate,ECOM-5257,2023-12-27,1202068,2023-12-21T15:10:29.767+0200,0,jira,timeoriginalestimate,,,144000,144000,,
0,timeestimate,ECOM-5257,2023-12-27,1202082,2023-12-21T15:44:50.077+0200,0,jira,timeestimate,144000,144000,230400,230400,,
1,timeoriginalestimate,ECOM-5257,2023-12-27,1202082,2023-12-21T15:44:50.077+0200,0,jira,timeoriginalestimate,144000,144000,230400,230400,,
0,assignee,ECOM-5257,2023-12-27,1202097,2023-12-21T15:49:07.951+0200,0,jira,assignee,,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008
0,assignee,ECOM-5257,2023-12-27,1204617,2023-12-25T09:33:10.759+0200,0,jira,assignee,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5256,2023-12-27,1202011,2023-12-21T14:20:01.644+0200,0,jira,,,,98410,ECOM-5248,,
0,Parent,ECOM-5256,2023-12-27,1202012,2023-12-21T14:20:01.730+0200,0,jira,,,,98410,ECOM-5248,,
0,timeestimate,ECOM-5256,2023-12-27,1202066,2023-12-21T15:09:21.764+0200,0,jira,timeestimate,,,144000,144000,,
1,timeoriginalestimate,ECOM-5256,2023-12-27,1202066,2023-12-21T15:09:21.764+0200,0,jira,timeoriginalestimate,,,144000,144000,,
0,timeestimate,ECOM-5256,2023-12-27,1202085,2023-12-21T15:45:33.885+0200,0,jira,timeestimate,144000,144000,230400,230400,,
1,timeoriginalestimate,ECOM-5256,2023-12-27,1202085,2023-12-21T15:45:33.885+0200,0,jira,timeoriginalestimate,144000,144000,230400,230400,,
0,assignee,ECOM-5256,2023-12-27,1202095,2023-12-21T15:48:52.925+0200,0,jira,assignee,,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008
0,assignee,ECOM-5256,2023-12-27,1204616,2023-12-25T09:33:02.774+0200,0,jira,assignee,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5255,2023-12-27,1202007,2023-12-21T14:19:48.387+0200,0,jira,,,,98410,ECOM-5248,,
0,Parent,ECOM-5255,2023-12-27,1202008,2023-12-21T14:19:48.501+0200,0,jira,,,,98410,ECOM-5248,,
0,timeestimate,ECOM-5255,2023-12-27,1202065,2023-12-21T15:09:11.122+0200,0,jira,timeestimate,,,86400,86400,,
1,timeoriginalestimate,ECOM-5255,2023-12-27,1202065,2023-12-21T15:09:11.122+0200,0,jira,timeoriginalestimate,,,86400,86400,,
0,timeestimate,ECOM-5255,2023-12-27,1202084,2023-12-21T15:45:24.981+0200,0,jira,timeestimate,86400,86400,115200,115200,,
1,timeoriginalestimate,ECOM-5255,2023-12-27,1202084,2023-12-21T15:45:24.981+0200,0,jira,timeoriginalestimate,86400,86400,115200,115200,,
0,assignee,ECOM-5255,2023-12-27,1202094,2023-12-21T15:48:47.875+0200,0,jira,assignee,,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008
0,assignee,ECOM-5255,2023-12-27,1204615,2023-12-25T09:33:00.555+0200,0,jira,assignee,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5254,2023-12-27,1202004,2023-12-21T14:19:40.122+0200,0,jira,,,,98410,ECOM-5248,,
0,Parent,ECOM-5254,2023-12-27,1202005,2023-12-21T14:19:40.195+0200,0,jira,,,,98410,ECOM-5248,,
0,description,ECOM-5254,2023-12-27,1202063,2023-12-21T15:08:29.739+0200,0,jira,description,,,,Get last cart by user id.,,
0,timeestimate,ECOM-5254,2023-12-27,1202064,2023-12-21T15:08:42.353+0200,0,jira,timeestimate,,,86400,86400,,
1,timeoriginalestimate,ECOM-5254,2023-12-27,1202064,2023-12-21T15:08:42.353+0200,0,jira,timeoriginalestimate,,,86400,86400,,
0,timeestimate,ECOM-5254,2023-12-27,1202083,2023-12-21T15:45:17.346+0200,0,jira,timeestimate,86400,86400,115200,115200,,
1,timeoriginalestimate,ECOM-5254,2023-12-27,1202083,2023-12-21T15:45:17.346+0200,0,jira,timeoriginalestimate,86400,86400,115200,115200,,
0,assignee,ECOM-5254,2023-12-27,1202093,2023-12-21T15:48:43.157+0200,0,jira,assignee,,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008
0,assignee,ECOM-5254,2023-12-27,1204614,2023-12-25T09:32:55.536+0200,0,jira,assignee,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5253,2023-12-27,1202001,2023-12-21T14:18:28.689+0200,0,jira,,,,98409,ECOM-5247,,
0,Parent,ECOM-5253,2023-12-27,1202002,2023-12-21T14:18:28.760+0200,0,jira,,,,98409,ECOM-5247,,
0,description,ECOM-5253,2023-12-27,1202022,2023-12-21T14:22:15.142+0200,0,jira,description,,,,"Add two methods:

* Find by barcode.
* Find by name.",,
0,timeestimate,ECOM-5253,2023-12-27,1202023,2023-12-21T14:22:29.333+0200,0,jira,timeestimate,,,144000,144000,,
1,timeoriginalestimate,ECOM-5253,2023-12-27,1202023,2023-12-21T14:22:29.333+0200,0,jira,timeoriginalestimate,,,144000,144000,,
0,assignee,ECOM-5253,2023-12-27,1202091,2023-12-21T15:48:25.892+0200,0,jira,assignee,,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008
0,description,ECOM-5253,2023-12-27,1202120,2023-12-21T17:03:29.908+0200,0,jira,description,,"Add two methods:

* Find by barcode.
* Find by name.",,"Add two methods:

* Find by barcode.
* Find by name.

We used to send search query from FE to server

!image-20231221-150221.png|width=1311,height=201!

but it’s wrong behavior.  The query should be created on server. The FE will send only text/barcode to search.",,
0,assignee,ECOM-5253,2023-12-27,1204976,2023-12-25T11:57:31.792+0200,0,jira,assignee,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5252,2023-12-27,1201996,2023-12-21T14:17:54.891+0200,0,jira,,,,98408,ECOM-5246,,
0,Parent,ECOM-5252,2023-12-27,1201997,2023-12-21T14:17:54.969+0200,0,jira,,,,98408,ECOM-5246,,
0,timeestimate,ECOM-5252,2023-12-27,1202072,2023-12-21T15:32:15.219+0200,0,jira,timeestimate,,,144000,144000,,
1,timeoriginalestimate,ECOM-5252,2023-12-27,1202072,2023-12-21T15:32:15.219+0200,0,jira,timeoriginalestimate,,,144000,144000,,
0,assignee,ECOM-5252,2023-12-27,1202088,2023-12-21T15:48:10.322+0200,0,jira,assignee,,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008
0,assignee,ECOM-5252,2023-12-27,1204606,2023-12-25T09:31:41.600+0200,0,jira,assignee,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5251,2023-12-27,1201992,2023-12-21T14:17:41.047+0200,0,jira,,,,98408,ECOM-5246,,
0,Parent,ECOM-5251,2023-12-27,1201993,2023-12-21T14:17:41.119+0200,0,jira,,,,98408,ECOM-5246,,
0,timeestimate,ECOM-5251,2023-12-27,1202071,2023-12-21T15:32:06.287+0200,0,jira,timeestimate,,,288000,288000,,
1,timeoriginalestimate,ECOM-5251,2023-12-27,1202071,2023-12-21T15:32:06.287+0200,0,jira,timeoriginalestimate,,,288000,288000,,
0,assignee,ECOM-5251,2023-12-27,1202087,2023-12-21T15:48:04.243+0200,0,jira,assignee,,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,,712020:4756d021-caff-4fbc-ba1d-753afb8e1008
0,assignee,ECOM-5251,2023-12-27,1204605,2023-12-25T09:31:39.440+0200,0,jira,assignee,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,Hoa Nguyen,712020:ac60f76c-33de-4954-aaac-e67fee70cdea,Long Diep,712020:4756d021-caff-4fbc-ba1d-753afb8e1008,712020:ac60f76c-33de-4954-aaac-e67fee70cdea
0,IssueParentAssociation,ECOM-5249,2023-12-27,1201959,2023-12-21T14:09:24.829+0200,0,jira,,,,96765,ECOM-4911,,
